,municipio
821,Apatzingán
822,Parácuaro
823,Coahuayana
824,Chinicuila
825,Coalcomán de Vázquez Pallares
826,Aquila
827,Tumbiscatío
828,Lázaro Cárdenas
829,Epitacio Huerta
830,Contepec
831,Tlalpujahua
832,Maravatío
833,Irimbo
834,Senguio
835,Charo
836,Tzitzio
837,Tiquicheo de Nicolás Romero
838,Aporo
839,Angangueo
840,Jungapeo
841,Zitácuaro
842,Tuzantla
843,Susupuato
844,Pátzcuaro
845,Erongarícuaro
846,Huiramba
847,Tacámbaro
848,Turicato
849,Ziracuaretiro
850,Taretan
851,Gabriel Zamora
852,Nuevo Urecho
853,Múgica
854,Salvador Escalante
855,Ario
856,La Huacana
857,Churumuco
858,Nocupétaro
859,Carácuaro
860,Huetamo
861,Cuernavaca
862,Huitzilac
863,Tepoztlán
864,Tlalnepantla
865,Tlayacapan
866,Jiutepec
867,Temixco
868,Miacatlán
869,Coatetelco
870,Coatlán del Río
871,Tetecala
872,Mazatepec
873,Amacuzac
874,Puente de Ixtla
875,Xoxocotla
876,Ayala
877,Yautepec
878,Tlaltizapán de Zapata
879,Zacatepec
880,Xochitepec
881,Tetela del Volcán
882,Hueyapan
883,Yecapixtla
884,Totolapan
885,Atlatlahucan
886,Ocuituco
887,Temoac
888,Zacualpan de Amilpas
889,Jojutla
890,Tepalcingo
891,Jonacatepec de Leandro Valle
892,Axochiapan
893,Jantetelco
894,Tlaquiltenango
895,Tepic
896,Santiago Ixcuintla
897,Acaponeta
898,Tecuala
899,Huajicori
900,Del Nayar
901,La Yesca
902,Ruíz
903,Rosamorada
904,Compostela
905,Bahía de Banderas
906,San Blas
907,Xalisco
908,San Pedro Lagunillas
909,Jala
910,Ahuacatlán
911,Ixtlán del Río
912,Amatlán de Cañas
913,Monterrey
914,Anáhuac
915,Lampazos de Naranjo
916,Mina
917,Bustamante
918,Sabinas Hidalgo
919,Villaldama
920,Vallecillo
921,Parás
922,Salinas Victoria
923,Ciénega de Flores
924,Higueras
925,General Zuazua
926,Agualeguas
927,General Treviño
928,Cerralvo
929,García
930,General Escobedo
931,San Pedro Garza García
932,San Nicolás de los Garza
933,El Carmen
934,Apodaca
935,Pesquería
936,Marín
937,Doctor González
938,Los Ramones
939,Los Herreras
940,Los Aldamas
941,Doctor Coss
